date,open,high,low,close,volume
2026-02-02,50.46,50.46,50.4331,50.443,154207.0
2026-02-03,50.44,50.46,50.44,50.45,603856.0
2026-02-04,50.44,50.47,50.44,50.46,261561.0
2026-02-05,50.5,50.5,50.475,50.49,205971.0
2026-02-06,50.51,50.52,50.49,50.49,355783.0
2026-02-09,50.52,50.52,50.5,50.52,113806.0
2026-02-10,50.53,50.54,50.52,50.531,126227.0
2026-02-11,50.5,50.5371,50.5,50.5,356971.0
2026-02-12,50.53,50.56,50.52,50.54,168580.0
2026-02-13,50.57,50.6,50.57,50.59,147796.0
2026-02-17,50.57,50.5898,50.5613,50.57,231613.0
2026-02-18,50.56,50.58,50.56,50.56,168143.0
2026-02-19,50.57,50.585,50.57,50.58,212052.0
2026-02-20,50.59,50.595,50.57,50.58,222465.0
2026-02-23,50.59,50.63,50.58,50.63,152984.9299
2026-02-24,50.6,50.6199,50.59,50.6,160334.976398
2026-02-25,50.59,50.6089,50.585,50.585,105997.722318
2026-02-26,50.61,50.62,50.6,50.61,220408.000848
2026-02-27,50.61,50.66,50.61,50.645,189862.404999
2026-03-02,50.49,50.49,50.43,50.45,166977.373084
2026-03-03,50.42,50.46,50.415,50.46,161746.288679
2026-03-04,50.47,50.47,50.44,50.445,190478.750213
2026-03-05,50.42,50.44,50.42,50.43,182584.540145
2026-03-06,50.43,50.47,50.43,50.458,272992.4838
2026-03-09,50.44,50.48,50.43,50.46,141116.14471
2026-03-10,50.47,50.4799,50.44,50.44,202475.333838
2026-03-11,50.43,50.45,50.43,50.43,100498.896
2026-03-12,50.46,50.46,50.39,50.399,270449.54497
2026-03-13,50.42,50.43,50.4,50.42,80409.102772
2026-03-16,50.43,50.44,50.4261,50.44,92830.224515
2026-03-17,50.46,50.48,50.43,50.43,119703.343656
2026-03-18,50.44,50.44,50.4,50.4,77227.050188
2026-03-19,50.38,50.43,50.38,50.4,88030.018072
2026-03-20,50.39,50.39,50.36,50.375,165535.440404
2026-03-23,50.39,50.4154,50.37,50.41,133923.318347
2026-03-24,50.37,50.395,50.364,50.38,81668.122982
2026-03-25,50.4,50.41,50.39,50.41,315971.052322
2026-03-26,50.38,50.4,50.36,50.365,258579.1975
2026-03-27,50.37,50.4099,50.37,50.405,99612.133934
2026-03-30,50.43,50.44,50.4201,50.432,251245.631195
2026-03-31,50.45,50.5,50.45,50.475,436245.038762
2026-04-01,50.29,50.31,50.29,50.3,165417.295939
2026-04-02,50.33,50.34,50.31,50.34,214629.459892
2026-04-06,50.33,50.33,50.28,50.28,116907.665542
2026-04-07,50.34,50.35,50.29,50.35,247661.444218
2026-04-08,50.38,50.38,50.3,50.35,705556.786785
2026-04-09,50.37,50.38,50.35,50.36,594560.666576
2026-04-10,50.4,50.4,50.35,50.357,193741.851685
2026-04-13,50.36,50.38,50.35,50.37,142982.411471
2026-04-14,50.38,50.41,50.38,50.41,133218.1783
2026-04-15,50.4,50.41,50.38,50.41,143214.95876
2026-04-16,50.4,50.42,50.39,50.42,82372.0063
2026-04-17,50.44,50.46,50.4307,50.445,89178.723
2026-04-20,50.44,50.45,50.43,50.44,158482.79444
2026-04-21,50.43,50.44,50.41,50.415,121811.804138
2026-04-22,50.44,50.44,50.42,50.43,107776.47649
2026-04-23,50.42,50.44,50.415,50.43,137701.3597
2026-04-24,50.45,50.47,50.432,50.45,88582.481879
2026-04-27,50.45,50.46,50.44,50.46,192562.750737
2026-04-28,50.43,50.46,50.43,50.46,217392.15516
2026-04-29,50.44,50.45,50.41,50.425,146304.997754
2026-04-30,50.44,50.46,50.42,50.44,99767.9728
2026-05-01,50.29,50.32,50.29,50.31,116938.637172
2026-05-04,50.28,50.3,50.2599,50.28,209547.42625
2026-05-05,50.28,50.3,50.28,50.3,103888.434253
2026-05-06,50.33,50.34,50.3101,50.32,116220.462177
2026-05-07,50.33,50.35,50.314,50.35,204716.837035
2026-05-08,50.34,50.35,50.33,50.35,94230.281697
2026-05-11,50.33,50.3491,50.32,50.34,108725.527098
2026-05-12,50.3,50.32,50.3,50.32,127851.618559
2026-05-13,50.33,50.33,50.3,50.33,120876.725234
2026-05-14,50.33,50.3391,50.3,50.32,169882.604728
2026-05-15,50.28,50.31,50.28,50.31,130802.095389
2026-05-18,50.3,50.32,50.29,50.305,46140.00085
2026-05-19,50.29,50.3036,50.28,50.3,78942.460342
2026-05-20,50.29,50.34,50.29,50.33,134120.176559
2026-05-21,50.32,50.34,50.3001,50.34,92192.686957
2026-05-22,50.34,50.3501,50.315,50.33,121729.205416
2026-05-26,50.36,50.37,50.34,50.37,140539.175381
2026-05-27,50.36,50.38,50.36,50.38,137979.498882
2026-05-28,50.37,50.41,50.37,50.39,194582.505658
2026-05-29,50.4,50.43,50.4,50.43,253914.011786
2026-06-01,50.24,50.2486,50.22,50.23,204813.34252
2026-06-02,50.25,50.26,50.23,50.24,264311.947801
2026-06-03,50.23,50.25,50.21,50.22,123257.730247
2026-06-04,50.26,50.27,50.2401,50.25,70381.1102
2026-06-05,50.22,50.25,50.21,50.21,207217.019641
2026-06-08,50.23,50.2419,50.21,50.23,109891.926227
2026-06-09,50.24,50.25,50.23,50.23,263914.093498
2026-06-10,50.26,50.27,50.24,50.245,141803.4345
2026-06-11,50.25,50.3,50.24,50.3,61362.214255
2026-06-12,50.27,50.2992,50.27,50.285,62714.04424
2026-06-15,50.3,50.32,50.3,50.31,103077.468001
2026-06-16,50.3,50.32,50.3,50.31,66707.493959
2026-06-17,50.32,50.32,50.24,50.245,84779.640126
2026-06-18,50.3,50.305,50.27,50.29,192989.616255
2026-06-22,50.26,50.28,50.25,50.265,104770.008679
2026-06-23,50.28,50.29,50.28,50.29,105685.294893
2026-06-24,50.32,50.32,50.3001,50.32,175745.644177
2026-06-25,50.32,50.3401,50.315,50.33,174251.121501
2026-06-26,50.35,50.375,50.34,50.35,117034.324822
2026-06-29,50.35,50.3661,50.34,50.34,132108.931857
2026-06-30,50.35,50.36,50.33,50.34,208056.768273
2026-07-01,50.18,50.22,50.17,50.2,205697.386072
2026-07-02,50.22,50.24,50.22,50.24,81822.963509
2026-07-06,50.24,50.25,50.23,50.245,157032.595273
2026-07-07,50.24,50.24,50.2,50.2,131400.672592
2026-07-08,50.21,50.22,50.1715,50.182,768866.879408
2026-07-09,50.21,50.24,50.21,50.23,130136.937274
2026-07-10,50.25,50.25,50.22,50.23,56677.737
2026-07-13,50.23,50.23,50.2,50.21,103931.450964
2026-07-14,50.25,50.27,50.23,50.25,107750.777369
2026-07-15,50.27,50.2799,50.25,50.26,104807.00084
2026-07-16,50.27,50.2799,50.25,50.2524,124887.4471
2026-07-17,50.28,50.3,50.26,50.27,373789.535234
2026-07-20,50.28,50.29,50.25,50.26,133765.820586
2026-07-21,50.25,50.27,50.25,50.26,62202.546272
2026-07-22,50.26,50.26,50.23,50.24,123321.239936
2026-07-23,50.24,50.24,50.21,50.23,87067.97115
2026-07-24,50.24,50.2698,50.24,50.252,96306.897883
2026-07-27,50.26,50.2811,50.26,50.2705,184376.148389
2026-07-28,50.27,50.2995,50.27,50.285,58208.002161
2026-07-29,50.29,50.32,50.27,50.3,285170.722337
2026-07-30,50.32,50.33,50.31,50.329,151239.076438
2026-07-31,50.31,50.32,50.3099,50.31,106063.484206
2026-08-03,50.17,50.18,50.16,50.18,216298.187583
2026-08-04,50.22,50.2299,50.18,50.215,127187.506008
2026-08-05,50.22,50.23,50.2,50.23,173540.759932
2026-08-06,50.22,50.22,50.18,50.2,141587.805168
2026-08-07,50.25,50.25,50.22,50.24,132354.365
2026-08-10,50.23,50.24,50.22,50.24,99364.530787
2026-08-11,50.23,50.25,50.23,50.245,296138.537691
2026-08-12,50.25,50.26,50.23,50.24,201978.622085
2026-08-13,50.27,50.2898,50.27,50.28,39234.996378
2026-08-14,50.31,50.31,50.27,50.28,58900.29478
